Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Chromobacterium vaccinii strain CR5","1108595.43","JAJNRV010000131","fig|1108595.43.peg.4364","LQR31_20785",,"PATRIC.1108595.43.JAJNRV010000131.CDS.148.639.fwd","PATRIC","CDS",148,639,492,"+",,,,,163,,"SLATT domain-containing protein",
"Chromobacterium vaccinii CR5","1108595.50","JAJNRV010000131","fig|1108595.50.peg.4364","LQR31_20785",,"PATRIC.1108595.50.JAJNRV010000131.CDS.148.639.fwd","PATRIC","CDS",148,639,492,"+",,,,,163,,"SLATT domain-containing protein",
"Rathayibacter festucae VKM Ac-2925","110937.20","JALGRR010000005","fig|110937.20.peg.4387","MT356_20610",,"PATRIC.110937.20.JALGRR010000005.CDS.52155.52805.rev","PATRIC","CDS",52155,52805,651,"-",,,,,216,,"SLATT domain-containing protein",
"Kribbella soli NBC_00380","1124743.5","CP107956","fig|1124743.5.peg.1997","OG809_10060",,"PATRIC.1124743.5.CP107956.CDS.2011741.2012385.fwd","PATRIC","CDS",2011741,2012385,645,"+",,,,,214,,"SLATT domain-containing protein",
"Klebsiella michiganensis TUM14377","1134687.838","JAUCHG010000009","fig|1134687.838.peg.7253","QUG79_05115",,"PATRIC.1134687.838.JAUCHG010000009.CDS.104499.104945.fwd","PATRIC","CDS",104499,104945,447,"+",,,"PGF_11391401",,148,,"SLATT domain-containing protein",
"Actinoplanes hulinensis strain NEAU-M9","1144547.3","JAHXZI010000003","fig|1144547.3.peg.5220","KZ829_06585",,"PATRIC.1144547.3.JAHXZI010000003.CDS.39004.39627.fwd","PATRIC","CDS",39004,39627,624,"+",,,,,207,,"SLATT domain-containing protein",
"Paenalcaligenes hermetiae strain 750 605 BIMA","1157987.3","JAOBND010000004","fig|1157987.3.peg.1514","N3682_05290",,"PATRIC.1157987.3.JAOBND010000004.CDS.205186.205656.fwd","PATRIC","CDS",205186,205656,471,"+",,,,,156,,"SLATT domain-containing protein",
"Paenalcaligenes hermetiae 750 605 BIMA","1157987.4","JAOBND010000004","fig|1157987.4.peg.1514","N3682_05290",,"PATRIC.1157987.4.JAOBND010000004.CDS.205186.205656.fwd","PATRIC","CDS",205186,205656,471,"+",,,,,156,,"SLATT domain-containing protein",
"Salmonella enterica subsp. enterica serovar Istanbul strain KUFSE-CM82","1160750.4","JAALIX010000673","fig|1160750.4.peg.5719","G6O45_25465",,"PATRIC.1160750.4.JAALIX010000673.CDS.1.312.rev","PATRIC","CDS",1,312,312,"-",,"PLF_590_00010161","PGF_08225224",,103,,"SLATT domain-containing protein",
"Pseudomonas donghuensis strain 22G6","1163398.8","RWIB01000003","fig|1163398.8.peg.5986","EI533_07085",,"PATRIC.1163398.8.RWIB01000003.CDS.461081.461551.rev","PATRIC","CDS",461081,461551,471,"-",,,,,156,,"SLATT domain-containing protein",
"Pseudomonas gingeri strain P8018","117681.30","JACASC010000022","fig|117681.30.peg.2512","HX895_07460",,"PATRIC.117681.30.JACASC010000022.CDS.78716.79162.rev","PATRIC","CDS",78716,79162,447,"-",,,,,148,,"SLATT domain-containing protein",
"Pectobacterium aroidearum QJ313","1201031.36","CP090591","fig|1201031.36.peg.1287","L0Y30_06235",,"PATRIC.1201031.36.CP090591.CDS.1389296.1389844.rev","PATRIC","CDS",1389296,1389844,549,"-",,,,,182,,"SLATT domain-containing protein",
"Pectobacterium aroidearum QJ036","1201031.40","CP090593","fig|1201031.40.peg.1287","L0Y29_06225",,"PATRIC.1201031.40.CP090593.CDS.1389296.1389844.rev","PATRIC","CDS",1389296,1389844,549,"-",,,,,182,,"SLATT domain-containing protein",
"Pectobacterium aroidearum QJ034","1201031.41","CP090594","fig|1201031.41.peg.1287","L0Y22_06225",,"PATRIC.1201031.41.CP090594.CDS.1389296.1389844.rev","PATRIC","CDS",1389296,1389844,549,"-",,,,,182,,"SLATT domain-containing protein",
"Pectobacterium aroidearum QJ315","1201031.43","CP090590","fig|1201031.43.peg.1286","L0Y23_06235",,"PATRIC.1201031.43.CP090590.CDS.1389294.1389842.rev","PATRIC","CDS",1389294,1389842,549,"-",,,,,182,,"SLATT domain-containing protein",
"Pectobacterium aroidearum QJ316","1201031.44","CP090589","fig|1201031.44.peg.1287","L0Y28_06225",,"PATRIC.1201031.44.CP090589.CDS.1389296.1389844.rev","PATRIC","CDS",1389296,1389844,549,"-",,,,,182,,"SLATT domain-containing protein",
"Ensifer sesbaniae SDT23","1214071.7","JALMMB010000002","fig|1214071.7.peg.3145","MZK49_07980",,"PATRIC.1214071.7.JALMMB010000002.CDS.558700.559197.rev","PATRIC","CDS",558700,559197,498,"-",,,"PGF_07908801",,165,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain LPBC161","1254.123","SAXR01000188","fig|1254.123.peg.611","EPJ63_09580",,"PATRIC.1254.123.SAXR01000188.CDS.130.441.fwd","PATRIC","CDS",130,441,312,"+",,,,,,,"SLATT domain-containing protein",
